jogador,nacao_codigo,posicao_original,posicao_principal,clube,liga,idade,jogos,minutos,noventas,Gls,Ast,G+A,Sh,SoT,SoT%,Crs,TklW,Int,GA90,Saves,Save%,CS%,gols_p90,assistencias_p90,participacoes_gol_p90,finalizacoes_p90,finalizacoes_gol_p90,cruzamentos_p90,desarmes_vencidos_p90,interceptacoes_p90,save_pct,clean_sheet_pct,score_ataque,score_meio,score_defesa,score_goleiro,indice_desempenho,incerteza_modelo,penalidade_baixa_amostra
Emil Audero,IDN,GK,GK,Cremonese,it Serie A,29.0,31,2790,31.0,0,0,0,0,0,,0,0,0,1.48,119.0,73.1,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.731,0.29,0.059096366835579464,0.10460160739367584,0.30789016810691155,0.6522500775648618,65.22500775648618,3.2931376474433174,1.0
Sergio Herrera,ESP,GK,GK,Osasuna,es La Liga,32.0,35,3104,34.5,0,0,0,0,0,,0,0,0,1.28,110.0,75.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753,0.2,0.059890463463935506,0.09840467592292851,0.2795708063822768,0.6518835122078774,65.18835122078774,3.071825946469128,1.0
Emiliano Martínez,ARG,GK,GK,Aston Villa,eng Premier League,33.0,30,2655,29.5,0,0,0,0,0,,0,0,0,1.19,88.0,71.3,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713,0.267,0.058727087143934736,0.17050617268908813,0.2683666266405619,0.649538875432474,64.9538875432474,3.398929481504982,1.0
Péter Gulácsi,HUN,GK,GK,RB Leipzig,de Bundesliga,36.0,22,1918,21.3,0,0,0,0,0,,0,0,0,1.31,51.0,66.7,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.409,0.056306246593607695,0.0750749954581436,0.23780351260437438,0.6488147475857857,64.88147475857858,4.146412737249776,1.0
Maduka Okoye,NGA,GK,GK,Udinese,it Serie A,26.0,27,2346,26.1,0,0,0,0,0,,0,0,0,1.34,69.0,69.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6940000000000001,0.33299999999999996,0.05780585050002161,0.09546527193106331,0.3011700960800018,0.6475631421797605,64.75631421797605,3.669597950420113,1.0
Matz Sels,BEL,GK,GK,Nottingham Forest,eng Premier League,34.0,28,2398,26.6,0,0,0,0,0,,0,1,0,1.28,80.0,72.5,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.03759398496240601,0.0,0.725,0.259,0.05796907414557723,0.11037480562768695,0.279541684153953,0.6462907669040086,64.62907669040085,3.625445361444183,1.0
Caoimhín Kelleher,IRL,GK,GK,Brentford,eng Premier League,27.0,34,3060,34.0,0,0,0,0,0,,0,0,1,1.26,88.0,68.5,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.685,0.294,0.05978416019687047,0.1173592724193567,0.3411013272431984,0.6458882587703417,64.58882587703417,3.101363852773794,1.0
Aarón Escandell,ESP,GK,GK,Oviedo,es La Liga,30.0,34,3060,34.0,0,1,1,0,0,,0,0,0,1.59,136.0,73.2,26.5,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.732,0.265,0.1815488660792234,0.21265339006641554,0.29974118074149264,0.6453685106595104,64.53685106595104,3.101363852773794,1.0
Robin Roefs,NED,GK,GK,Sunderland,eng Premier League,23.0,32,2880,32.0,0,0,0,0,0,,0,0,0,1.37,102.0,70.6,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706,0.281,0.05933275886204371,0.13911034514939163,0.28662416714693717,0.645099060712142,64.50990607121419,3.226463257869883,1.0
Arijanet Muric,KVX,GK,GK,Sassuolo,it Serie A,27.0,32,2880,32.0,0,0,0,0,0,,0,0,0,1.34,118.0,75.5,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.755,0.188,0.05933275886204371,0.09411034514939162,0.3094694752728063,0.6445681287222176,64.45681287222176,3.226463257869883,1.0
Marko Dmitrović,SRB,GK,GK,Espanyol,es La Liga,34.0,34,3060,34.0,0,0,0,0,0,,0,2,0,1.5,119.0,72.1,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.721,0.265,0.05978416019687047,0.1173592724193567,0.30427183162295673,0.6443757146897372,64.43757146897372,3.101363852773794,1.0
Gerónimo Rulli,ARG,GK,GK,Marseille,fr Ligue 1,33.0,27,2430,27.0,0,0,0,1,0,0.0,0,0,0,1.22,70.0,71.4,25.9,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.7140000000000001,0.259,0.05806777008524495,0.1544607304840303,0.2622832913342306,0.6434759468621017,64.34759468621017,3.592916942788091,1.0
Mike Penders,BEL,GK,GK,Strasbourg,fr Ligue 1,20.0,30,2700,30.0,0,0,0,0,0,,0,0,0,1.37,93.0,71.3,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713,0.267,0.0588522257079596,0.08913630094394615,0.2590635478196076,0.6424930316453954,64.24930316453954,3.362853631167023,1.0
Brice Samba,FRA,GK,GK,Rennes,fr Ligue 1,32.0,31,2790,31.0,0,0,0,0,0,,0,1,0,1.39,84.0,68.0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.68,0.32299999999999995,0.059096366835579464,0.1226661235227081,0.2935221528165249,0.6423772815950886,64.23772815950886,3.2931376474433174,1.0
Jonas Urbig,GER,GK,GK,Bayern Munich,de Bundesliga,22.0,12,990,11.0,0,0,0,0,0,,0,0,0,1.36,26.0,65.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.5,0.05138404188154486,0.08305751038751435,0.24443176248478865,0.640655520419613,64.06555204196131,6.001601410296755,1.0
Ionuț Radu,ROU,GK,GK,Celta Vigo,es La Liga,28.0,34,3060,34.0,0,0,0,0,0,,0,0,1,1.29,94.0,70.8,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.708,0.235,0.05978416019687047,0.12206515477229789,0.33939409584773766,0.6401791907602661,64.0179190760266,3.101363852773794,1.0
Wladimiro Falcone,ITA,GK,GK,Lecce,it Serie A,31.0,35,3150,35.0,0,0,0,0,0,,0,2,0,1.34,98.0,69.1,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.691,0.257,0.06,0.13028571428571428,0.3278244818833803,0.6372879370811672,63.72879370811672,3.04255531702266,1.0
Alisson,BRA,GK,GK,Liverpool,eng Premier League,33.0,25,2250,25.0,0,0,0,0,0,,0,0,0,1.2,56.0,66.7,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.32,0.0574947824062641,0.1214597098750188,0.26283153685551264,0.6365851482817396,63.65851482817396,3.76701450624906,1.0
Đorđe Petrović,SRB,GK,GK,Bournemouth,eng Premier League,26.0,35,3150,35.0,0,0,0,0,0,,0,0,0,1.49,101.0,68.7,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687,0.28600000000000003,0.06,0.08914285714285715,0.31324827289950297,0.6365225970307894,63.65225970307894,3.04255531702266,1.0
Justin Bijlow,NED,GK,GK,Genoa,it Serie A,28.0,14,1215,13.5,0,0,0,0,0,,0,0,0,1.33,41.0,74.5,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,0.28600000000000003,0.05290803040807259,0.08239589239594865,0.2814689910785281,0.6361149730018651,63.611497300186514,5.371777458361516,1.0
David de Gea,ESP,GK,GK,Fiorentina,it Serie A,35.0,35,3150,35.0,0,0,0,0,0,,0,0,0,1.4,107.0,70.9,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7090000000000001,0.22899999999999998,0.06,0.10285714285714286,0.2636559158310719,0.635709801061016,63.5709801061016,3.04255531702266,1.0
Elia Caprile,ITA,GK,GK,Cagliari,it Serie A,24.0,35,3150,35.0,0,0,0,0,0,,0,0,0,1.4,113.0,70.8,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.22899999999999998,0.06,0.11657142857142858,0.30243569392771175,0.635289801061016,63.5289801061016,3.04255531702266,1.0
Paulo Gazzaniga,ARG,GK,GK,Girona,es La Liga,34.0,31,2742,30.5,0,0,0,0,0,,0,1,0,1.41,107.0,73.3,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.733,0.19399999999999998,0.05896715477327322,0.11272123368676867,0.27497040359853875,0.6326558828178611,63.26558828178611,3.328143205979119,1.0
Guillaume Restes,FRA,GK,GK,Toulouse,fr Ligue 1,21.0,32,2849,31.7,0,0,0,0,0,,0,0,1,1.39,82.0,67.8,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031545741324921134,0.6779999999999999,0.281,0.059252179169612514,0.12947609167935717,0.29587723170452035,0.6323987158847063,63.23987158847063,3.246856471990078,1.0
Nick Pope,ENG,GK,GK,Newcastle United,eng Premier League,34.0,24,2146,23.8,0,0,0,1,1,100.0,0,1,0,1.43,73.0,69.5,29.2,0.0,0.0,0.0,0.04201680672268907,0.04201680672268907,0.0,0.04201680672268907,0.0,0.695,0.292,0.17714245277558038,0.09971934879881308,0.2762650803950478,0.6308994746857278,63.08994746857278,3.8801434259031846,1.0
Alberto Paleari,ITA,GK,GK,Torino,it Serie A,33.0,27,2430,27.0,0,0,0,0,0,,0,0,1,1.52,79.0,66.9,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.669,0.33299999999999996,0.05806777008524495,0.1307570267803266,0.2968018098527491,0.630245266761346,63.0245266761346,3.592916942788091,1.0
Manuel Neuer,GER,GK,GK,Bayern Munich,de Bundesliga,40.0,21,1800,20.0,0,0,0,0,0,,0,0,0,0.95,31.0,63.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.33299999999999996,0.0558335582688475,0.09044474435846334,0.22973720018510224,0.629030919633318,62.9030919633318,4.302685141576454,1.0
Robert Sánchez,ESP,GK,GK,Chelsea,eng Premier League,28.0,33,2859,31.8,0,1,1,0,0,,0,0,1,1.45,90.0,67.4,27.3,0.0,0.031446540880503145,0.031446540880503145,0.0,0.0,0.0,0.0,0.031446540880503145,0.674,0.273,0.18946694723391289,0.25136473467666376,0.33305005422011047,0.627085454567719,62.7085454567719,3.240086527018264,1.0
Zion Suzuki,JPN,GK,GK,Parma,it Serie A,23.0,18,1620,18.0,0,0,0,0,0,,0,0,0,1.33,55.0,70.1,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.701,0.278,0.05504925575468959,0.10895456322847502,0.26766834650363047,0.6245208827307016,62.45208827307016,4.572690303473313,1.0
Mads Hermansen,DEN,GK,GK,West Ham United,eng Premier League,25.0,15,1350,15.0,0,0,0,0,0,,0,0,0,1.6,45.0,66.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.4,0.05369217987348417,0.0929229064979789,0.2796873178360967,0.622570129653876,62.2570129653876,5.068101357216623,1.0
Mathew Ryan,AUS,GK,GK,Levante,es La Liga,34.0,33,2970,33.0,0,0,0,2,0,0.0,0,1,1,1.58,111.0,69.2,24.2,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.030303030303030304,0.6920000000000001,0.242,0.059561878608577014,0.10123401996295117,0.30816810628603286,0.6224388442239701,62.24388442239701,3.1626058999640936,1.0
Stole Dimitrievski,MKD,GK,GK,Valencia,es La Liga,32.0,16,1440,16.0,0,0,0,0,0,,0,0,0,1.25,42.0,71.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7120000000000001,0.25,0.05417254079748489,0.10223005439664652,0.25338350701052126,0.621719665049123,62.171966504912305,4.888497280167674,1.0
Senne Lammens,BEL,GK,GK,Manchester Utd,eng Premier League,23.0,29,2610,29.0,0,0,0,0,0,,0,1,0,1.28,70.0,68.3,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.6829999999999999,0.207,0.05859981016823941,0.10296066643121576,0.30970274112146756,0.6179730835527939,61.79730835527939,3.4358620759709733,1.0
Bernd Leno,GER,GK,GK,Fulham,eng Premier League,34.0,35,3150,35.0,0,0,0,0,0,,0,1,1,1.4,91.0,66.4,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.664,0.22899999999999998,0.06,0.12342857142857143,0.30674617674194893,0.616809801061016,61.6809801061016,3.04255531702266,1.0
Karl Darlow,WAL,GK,GK,Leeds United,eng Premier League,35.0,19,1710,19.0,0,0,0,0,0,,0,0,0,1.21,50.0,70.4,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7040000000000001,0.21100000000000002,0.05545172551250499,0.12446194980614701,0.23716583932936408,0.6163443422521914,61.63443422521914,4.432701508836445,1.0
Mark Flekken,NED,GK,GK,Leverkusen,de Bundesliga,32.0,22,1949,21.7,0,0,0,0,0,,0,0,0,1.57,69.0,71.1,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.22699999999999998,0.05642560756438661,0.09735395908738492,0.2640266261452435,0.6133350931164291,61.333509311642906,4.1023419457107195,1.0
Michael Zetterer,GER,GK,GK,Eintracht Frankfurt,de Bundesliga,30.0,21,1886,21.0,0,0,0,0,0,,0,1,1,1.48,57.0,66.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.6629999999999999,0.3,0.05618099550405758,0.14728894638636247,0.3510988130675029,0.6129297801806665,61.29297801806665,4.1825223239773575,1.0
Mory Diaw,SEN,GK,GK,Le Havre,fr Ligue 1,32.0,28,2475,27.5,0,1,1,0,0,,0,0,2,1.45,77.0,68.5,21.4,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.0,0.07272727272727272,0.685,0.214,0.2087498397340839,0.2536058469181725,0.336709924609347,0.6122315665853341,61.223156658533405,3.552172975375507,1.0
Oliver Baumann,GER,GK,GK,Hoffenheim,de Bundesliga,35.0,32,2880,32.0,0,0,0,0,0,,0,0,1,1.5,94.0,68.6,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.6859999999999999,0.188,0.05933275886204371,0.11911034514939162,0.2814466725232002,0.6091397660018145,60.91397660018145,3.226463257869883,1.0
Daniel Heuer Fernandes,POR,GK,GK,Hamburger SV,de Bundesliga,33.0,32,2880,32.0,0,0,0,1,0,0.0,0,0,0,1.59,104.0,69.4,18.8,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.6940000000000001,0.188,0.05933275886204371,0.09911034514939163,0.2698098356083094,0.6088725619715878,60.88725619715878,3.226463257869883,1.0
